Team,Match,Division,Rank,FirstMatchOdds
Kansas,1,South,1,92
Austin Peay,1,South,16,8
Colorado,2,South,8,63
Conneticut,2,South,9,37
Maryland,3,South,5,67
South Dakota St.,3,South,12,33
California,4,South,4,53
Hawaii,4,South,13,47
Arizona,5,South,6,57
Wichita  State/Vanderbilt,5,South,11,43
Miami (FLA),6,South,3,89
Buffalo,6,South,14,11
Iowa,7,South,7,73
Temple,7,South,10,27
Villanova,8,South,2,86
UNC - Asheville,8,South,15,14
Oregon,1,West,1,92
Southern Univ./Holy Cross,1,West,16,8
Saint Joseph's,2,West,8,51
Cincinnati,2,West,9,49
Baylor,3,West,5,63
Yale,3,West,12,37
Duke,4,West,4,59
UNCW,4,West,13,41
Texas,5,West,6,60
UNI,5,West,11,40
Texas A&M,6,West,3,74
Green Bay,6,West,14,36
Oregon State,7,West,7,35
VCU,7,West,10,65
Oklahoma,8,West,2,55
CSU Bakersfield,8,West,15,45
North Carolina,1,East,1,93
Fairleigh D'son/FGCU,1,East,16,7
USC,2,East,8,62
Providence,2,East,9,38
Indiana,3,East,5,48
Chattanooga,3,East,12,52
Kentucky,4,East,4,60
Stony Brook,4,East,13,40
Notre Dame,5,East,6,53
Michigan/Tulsa,5,East,11,47
West Virginia,6,East,3,57
Steph. F. Austin,6,East,14,43
Wisconsin,7,East,7,44
Pittsburgh,7,East,10,56
Xavier,8,East,2,71
Weber State,8,East,15,29
Virginia,1,Midwest,1,88
Hampton,1,Midwest,16,12
Texas Tech,2,Midwest,8,43
Butler,2,Midwest,9,57
Purdue,3,Midwest,5,45
Little Rock,3,Midwest,12,55
Iowa State,4,Midwest,4,55
Iona,4,Midwest,13,45
Seton Hall,5,Midwest,6,40
Gonzaga,5,Midwest,11,60
Utah,6,Midwest,3,80
Fresno State,6,Midwest,14,20
Dayton,7,Midwest,7,63
Syracuse,7,Midwest,10,37
Michigan State,8,Midwest,2,72
MTSU,8,Midwest,15,28
